goos: darwin
goarch: arm64
pkg: geo/geosearch
cpu: Apple M2 Pro
BenchmarkGrowthKD_Build/N1000-12  	     915	    116929 ns/op	   72582 B/op	    1001 allocs/op
BenchmarkGrowthKD_Build/N1000-12  	     967	    114743 ns/op	   72581 B/op	    1001 allocs/op
BenchmarkGrowthKD_Build/N1000-12  	     361	    317539 ns/op	   72576 B/op	    1001 allocs/op
BenchmarkGrowthKD_Build/N5000-12  	      96	    875493 ns/op	  362880 B/op	    5001 allocs/op
BenchmarkGrowthKD_Build/N5000-12  	     100	    837875 ns/op	  362880 B/op	    5001 allocs/op
BenchmarkGrowthKD_Build/N5000-12  	     100	    895572 ns/op	  362883 B/op	    5001 allocs/op
BenchmarkGrowthKD_Build/N20000-12 	      21	   9675937 ns/op	 1443341 B/op	   20001 allocs/op
BenchmarkGrowthKD_Build/N20000-12 	      19	   5492042 ns/op	 1443328 B/op	   20001 allocs/op
BenchmarkGrowthKD_Build/N20000-12 	      24	   4275623 ns/op	 1443340 B/op	   20001 allocs/op
BenchmarkGrowthKD_Build/N80000-12 	       4	  60088781 ns/op	 5765120 B/op	   80001 allocs/op
BenchmarkGrowthKD_Build/N80000-12 	       5	  18877442 ns/op	 5765120 B/op	   80001 allocs/op
BenchmarkGrowthKD_Build/N80000-12 	       4	  31653386 ns/op	 5765120 B/op	   80001 allocs/op
BenchmarkGrowthKD_Build/N300000-12         	       1	 180744125 ns/op	21600768 B/op	  300001 allocs/op
BenchmarkGrowthKD_Build/N300000-12         	       1	  81452625 ns/op	21611264 B/op	  300011 allocs/op
BenchmarkGrowthKD_Build/N300000-12         	       2	 242841834 ns/op	21600768 B/op	  300001 allocs/op
BenchmarkGrowthKD_Search/N10000-12         	   78802	      1796 ns/op	     744 B/op	       5 allocs/op
BenchmarkGrowthKD_Search/N10000-12         	   87669	      3590 ns/op	     744 B/op	       5 allocs/op
BenchmarkGrowthKD_Search/N10000-12         	   87936	      1099 ns/op	     744 B/op	       5 allocs/op
BenchmarkGrowthKD_Search/N100000-12        	   10000	     10722 ns/op	   12264 B/op	       9 allocs/op
BenchmarkGrowthKD_Search/N100000-12        	    8715	     26692 ns/op	   12264 B/op	       9 allocs/op
BenchmarkGrowthKD_Search/N100000-12        	   10135	      8776 ns/op	   12264 B/op	       9 allocs/op
BenchmarkGrowthKD_Search/N500000-12        	    1341	    121024 ns/op	   45032 B/op	      11 allocs/op
BenchmarkGrowthKD_Search/N500000-12        	    2788	     37831 ns/op	   45032 B/op	      11 allocs/op
BenchmarkGrowthKD_Search/N500000-12        	    3138	     36058 ns/op	   45032 B/op	      11 allocs/op
BenchmarkGrowthKD_Search/N1000000-12       	    1540	     65440 ns/op	  126952 B/op	      13 allocs/op
BenchmarkGrowthKD_Search/N1000000-12       	    1623	    141364 ns/op	  126952 B/op	      13 allocs/op
BenchmarkGrowthKD_Search/N1000000-12       	    1723	     64439 ns/op	  126952 B/op	      13 allocs/op
BenchmarkGrowthGrid_Search/N10000-12       	   95683	       998.7 ns/op	     744 B/op	       5 allocs/op
BenchmarkGrowthGrid_Search/N10000-12       	   93920	      2517 ns/op	     744 B/op	       5 allocs/op
BenchmarkGrowthGrid_Search/N10000-12       	   86355	      1178 ns/op	     744 B/op	       5 allocs/op
BenchmarkGrowthGrid_Search/N100000-12      	    9846	     17314 ns/op	   12264 B/op	       9 allocs/op
BenchmarkGrowthGrid_Search/N100000-12      	    3788	     22420 ns/op	   12264 B/op	       9 allocs/op
BenchmarkGrowthGrid_Search/N100000-12      	   10000	     11309 ns/op	   12264 B/op	       9 allocs/op
BenchmarkGrowthGrid_Search/N500000-12      	    2383	     42065 ns/op	   45032 B/op	      11 allocs/op
BenchmarkGrowthGrid_Search/N500000-12      	    2415	     65692 ns/op	   45032 B/op	      11 allocs/op
BenchmarkGrowthGrid_Search/N500000-12      	     829	     96888 ns/op	   45032 B/op	      11 allocs/op
BenchmarkGrowthGrid_Search/N1000000-12     	     993	     87784 ns/op	  126952 B/op	      13 allocs/op
BenchmarkGrowthGrid_Search/N1000000-12     	    1104	    104328 ns/op	  126952 B/op	      13 allocs/op
BenchmarkGrowthGrid_Search/N1000000-12     	     499	    235850 ns/op	  126952 B/op	      13 allocs/op
BenchmarkGrowthNaive_Search/N10000-12      	     264	    357328 ns/op	     744 B/op	       5 allocs/op
BenchmarkGrowthNaive_Search/N10000-12      	     326	    293975 ns/op	     744 B/op	       5 allocs/op
BenchmarkGrowthNaive_Search/N10000-12      	     330	    689292 ns/op	     744 B/op	       5 allocs/op
BenchmarkGrowthNaive_Search/N100000-12     	      24	   3447530 ns/op	   12264 B/op	       9 allocs/op
BenchmarkGrowthNaive_Search/N100000-12     	      26	   3396433 ns/op	   12264 B/op	       9 allocs/op
BenchmarkGrowthNaive_Search/N100000-12     	      30	  10439678 ns/op	   12264 B/op	       9 allocs/op
BenchmarkGrowthNaive_Search/N500000-12     	       5	  17365283 ns/op	   45032 B/op	      11 allocs/op
BenchmarkGrowthNaive_Search/N500000-12     	       4	  32767260 ns/op	   45032 B/op	      11 allocs/op
BenchmarkGrowthNaive_Search/N500000-12     	       5	  17589775 ns/op	   45032 B/op	      11 allocs/op
BenchmarkGrowthNaive_Search/N1000000-12    	       3	  86468681 ns/op	  126952 B/op	      13 allocs/op
BenchmarkGrowthNaive_Search/N1000000-12    	       3	  30102625 ns/op	  126952 B/op	      13 allocs/op
BenchmarkGrowthNaive_Search/N1000000-12    	       2	  64569583 ns/op	  126952 B/op	      13 allocs/op
BenchmarkRadiusKD_Search/R10000-12         	  310512	       319.1 ns/op	       0 B/op	       0 allocs/op
BenchmarkRadiusKD_Search/R10000-12         	  355598	       275.4 ns/op	       0 B/op	       0 allocs/op
BenchmarkRadiusKD_Search/R10000-12         	  323064	       268.8 ns/op	       0 B/op	       0 allocs/op
BenchmarkRadiusKD_Search/R100000-12        	  143028	       686.7 ns/op	     360 B/op	       4 allocs/op
BenchmarkRadiusKD_Search/R100000-12        	  146420	       692.1 ns/op	     360 B/op	       4 allocs/op
BenchmarkRadiusKD_Search/R100000-12        	  135588	       692.1 ns/op	     360 B/op	       4 allocs/op
BenchmarkRadiusKD_Search/R500000-12        	   12590	      7676 ns/op	   12264 B/op	       9 allocs/op
BenchmarkRadiusKD_Search/R500000-12        	   12817	      7437 ns/op	   12264 B/op	       9 allocs/op
BenchmarkRadiusKD_Search/R500000-12        	   13077	      7459 ns/op	   12264 B/op	       9 allocs/op
BenchmarkRadiusKD_Search/R2000000-12       	     908	     99707 ns/op	  200681 B/op	      14 allocs/op
BenchmarkRadiusKD_Search/R2000000-12       	     924	    102339 ns/op	  200680 B/op	      14 allocs/op
BenchmarkRadiusKD_Search/R2000000-12       	     891	    103303 ns/op	  200680 B/op	      14 allocs/op
BenchmarkRadiusGrid_Search/R10000-12       	  968595	        99.86 ns/op	       0 B/op	       0 allocs/op
BenchmarkRadiusGrid_Search/R10000-12       	  936318	       101.1 ns/op	       0 B/op	       0 allocs/op
BenchmarkRadiusGrid_Search/R10000-12       	  915084	        99.75 ns/op	       0 B/op	       0 allocs/op
BenchmarkRadiusGrid_Search/R100000-12      	  150687	       613.9 ns/op	     360 B/op	       4 allocs/op
BenchmarkRadiusGrid_Search/R100000-12      	  158382	       612.6 ns/op	     360 B/op	       4 allocs/op
BenchmarkRadiusGrid_Search/R100000-12      	  163594	       618.5 ns/op	     360 B/op	       4 allocs/op
BenchmarkRadiusGrid_Search/R500000-12      	   10000	      8402 ns/op	   12264 B/op	       9 allocs/op
BenchmarkRadiusGrid_Search/R500000-12      	   10000	      8580 ns/op	   12264 B/op	       9 allocs/op
BenchmarkRadiusGrid_Search/R500000-12      	   10000	      8679 ns/op	   12264 B/op	       9 allocs/op
BenchmarkRadiusGrid_Search/R2000000-12     	     626	    149973 ns/op	  200680 B/op	      14 allocs/op
BenchmarkRadiusGrid_Search/R2000000-12     	     632	    150114 ns/op	  200680 B/op	      14 allocs/op
BenchmarkRadiusGrid_Search/R2000000-12     	     640	    149507 ns/op	  200680 B/op	      14 allocs/op
BenchmarkRadiusNaive_Search/R10000-12      	      32	   2979078 ns/op	       0 B/op	       0 allocs/op
BenchmarkRadiusNaive_Search/R10000-12      	      30	   2948676 ns/op	       0 B/op	       0 allocs/op
BenchmarkRadiusNaive_Search/R10000-12      	      31	   2948958 ns/op	       0 B/op	       0 allocs/op
BenchmarkRadiusNaive_Search/R100000-12     	      33	   2945730 ns/op	     360 B/op	       4 allocs/op
BenchmarkRadiusNaive_Search/R100000-12     	      32	   2941348 ns/op	     360 B/op	       4 allocs/op
BenchmarkRadiusNaive_Search/R100000-12     	      32	   2992978 ns/op	     360 B/op	       4 allocs/op
BenchmarkRadiusNaive_Search/R500000-12     	      30	   2978297 ns/op	   12264 B/op	       9 allocs/op
BenchmarkRadiusNaive_Search/R500000-12     	      32	   2989561 ns/op	   12264 B/op	       9 allocs/op
BenchmarkRadiusNaive_Search/R500000-12     	      31	   2961921 ns/op	   12264 B/op	       9 allocs/op
BenchmarkRadiusNaive_Search/R2000000-12    	      31	   3276257 ns/op	  200680 B/op	      14 allocs/op
BenchmarkRadiusNaive_Search/R2000000-12    	      31	   3005555 ns/op	  200680 B/op	      14 allocs/op
BenchmarkRadiusNaive_Search/R2000000-12    	      32	   3031891 ns/op	  200680 B/op	      14 allocs/op
PASS
ok  	geo/geosearch	14.506s
