goos: darwin
goarch: arm64
pkg: lab4/concurrentmap
cpu: Apple M2 Pro
BenchmarkGrowthConcurrentGet/N1024-12         	 8917098	        27.19 ns/op	       0 B/op	       0 allocs/op
BenchmarkGrowthConcurrentGet/N1024-12         	 8946598	        28.50 ns/op	       0 B/op	       0 allocs/op
BenchmarkGrowthConcurrentGet/N1024-12         	 8715796	        27.01 ns/op	       0 B/op	       0 allocs/op
BenchmarkGrowthConcurrentGet/N1024-12         	 8753373	        30.54 ns/op	       0 B/op	       0 allocs/op
BenchmarkGrowthConcurrentGet/N1024-12         	 8917995	        26.93 ns/op	       0 B/op	       0 allocs/op
BenchmarkGrowthConcurrentGet/N4096-12         	 5902376	        36.66 ns/op	       0 B/op	       0 allocs/op
BenchmarkGrowthConcurrentGet/N4096-12         	 6939130	        34.64 ns/op	       0 B/op	       0 allocs/op
BenchmarkGrowthConcurrentGet/N4096-12         	 6457326	        36.10 ns/op	       0 B/op	       0 allocs/op
BenchmarkGrowthConcurrentGet/N4096-12         	 6950368	        37.62 ns/op	       0 B/op	       0 allocs/op
BenchmarkGrowthConcurrentGet/N4096-12         	 6998582	        35.97 ns/op	       0 B/op	       0 allocs/op
BenchmarkGrowthConcurrentGet/N16384-12        	 5867037	        41.51 ns/op	       0 B/op	       0 allocs/op
BenchmarkGrowthConcurrentGet/N16384-12        	 5773648	        44.85 ns/op	       0 B/op	       0 allocs/op
BenchmarkGrowthConcurrentGet/N16384-12        	 5889394	        44.63 ns/op	       0 B/op	       0 allocs/op
BenchmarkGrowthConcurrentGet/N16384-12        	 5895628	        40.46 ns/op	       0 B/op	       0 allocs/op
BenchmarkGrowthConcurrentGet/N16384-12        	 5777331	        42.80 ns/op	       0 B/op	       0 allocs/op
BenchmarkGrowthConcurrentGet/N65536-12        	 5248438	        48.81 ns/op	       0 B/op	       0 allocs/op
BenchmarkGrowthConcurrentGet/N65536-12        	 5281732	        49.01 ns/op	       0 B/op	       0 allocs/op
BenchmarkGrowthConcurrentGet/N65536-12        	 5114848	        47.98 ns/op	       0 B/op	       0 allocs/op
BenchmarkGrowthConcurrentGet/N65536-12        	 5023008	        48.10 ns/op	       0 B/op	       0 allocs/op
BenchmarkGrowthConcurrentGet/N65536-12        	 5158027	        50.27 ns/op	       0 B/op	       0 allocs/op
BenchmarkGrowthConcurrentGet/N262144-12       	 4442148	        57.85 ns/op	       0 B/op	       0 allocs/op
BenchmarkGrowthConcurrentGet/N262144-12       	 4309251	        62.50 ns/op	       0 B/op	       0 allocs/op
BenchmarkGrowthConcurrentGet/N262144-12       	 4012525	        65.87 ns/op	       0 B/op	       0 allocs/op
BenchmarkGrowthConcurrentGet/N262144-12       	 4310102	        61.64 ns/op	       0 B/op	       0 allocs/op
BenchmarkGrowthConcurrentGet/N262144-12       	 4360290	        61.24 ns/op	       0 B/op	       0 allocs/op
BenchmarkGrowthConcurrentGet/N1048576-12      	 2877026	        80.45 ns/op	       0 B/op	       0 allocs/op
BenchmarkGrowthConcurrentGet/N1048576-12      	 3875928	        67.79 ns/op	       0 B/op	       0 allocs/op
BenchmarkGrowthConcurrentGet/N1048576-12      	 3546229	        67.50 ns/op	       0 B/op	       0 allocs/op
BenchmarkGrowthConcurrentGet/N1048576-12      	 3572125	        67.17 ns/op	       0 B/op	       0 allocs/op
BenchmarkGrowthConcurrentGet/N1048576-12      	 3059043	        69.30 ns/op	       0 B/op	       0 allocs/op
BenchmarkGrowthPlainGet/N1024-12              	 8024932	        27.39 ns/op	       0 B/op	       0 allocs/op
BenchmarkGrowthPlainGet/N1024-12              	 9217164	        27.64 ns/op	       0 B/op	       0 allocs/op
BenchmarkGrowthPlainGet/N1024-12              	 9145396	        26.05 ns/op	       0 B/op	       0 allocs/op
BenchmarkGrowthPlainGet/N1024-12              	 7588192	        28.95 ns/op	       0 B/op	       0 allocs/op
BenchmarkGrowthPlainGet/N1024-12              	 9041590	        27.90 ns/op	       0 B/op	       0 allocs/op
BenchmarkGrowthPlainGet/N4096-12              	 7476945	        32.12 ns/op	       0 B/op	       0 allocs/op
BenchmarkGrowthPlainGet/N4096-12              	 7353250	        33.83 ns/op	       0 B/op	       0 allocs/op
BenchmarkGrowthPlainGet/N4096-12              	 7297004	        34.42 ns/op	       0 B/op	       0 allocs/op
BenchmarkGrowthPlainGet/N4096-12              	 7313792	        32.26 ns/op	       0 B/op	       0 allocs/op
BenchmarkGrowthPlainGet/N4096-12              	 7464136	        33.91 ns/op	       0 B/op	       0 allocs/op
BenchmarkGrowthPlainGet/N16384-12             	 6546540	        37.02 ns/op	       0 B/op	       0 allocs/op
BenchmarkGrowthPlainGet/N16384-12             	 5500858	        36.59 ns/op	       0 B/op	       0 allocs/op
